"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","active_days","is_5percent_reduced"
13166828,2021-04-08,"buy","house","freehold",3,"Coventry",250000,2021-06-11,0,"no"
13171973,2021-04-08,"buy","house","freehold",3,"Bromley",525000,2021-04-21,0,"no"
13177288,2021-04-07,"buy","house","freehold",4,"Stoke On Trent",265000,2021-04-08,0,"no"
13186194,2021-04-09,"buy","house","freehold",3,"Sheffield",280000,2021-04-30,0,"no"
13187192,2021-04-09,"buy","flat","leasehold",2,"Richmond",535000,2021-04-23,0,"yes"
13191994,2021-04-09,"buy","flat","leasehold",1,"Watford",199950,2021-04-22,0,"yes"
16166584,2022-02-25,"buy","house","freehold",4,"Gillingham",650000,2022-03-18,0,"no"
16170285,2022-02-25,"buy","house","freehold",3,"Plymouth",250000,2022-03-14,0,"no"
16178766,2022-02-28,"buy","house","freehold",3,"Chelmsford",4e+05,2022-03-07,0,"yes"
16237644,2022-03-04,"buy","house","freehold",4,"Wolverhampton",475000,2022-04-16,0,"yes"
16252806,2022-03-07,"buy","house","freehold",3,"Sheffield",3e+05,2022-03-28,0,"yes"
16266878,2022-03-08,"buy","house","freehold",3,"Hull",220000,2022-04-08,0,"no"
16270945,2022-03-08,"buy","flat","leasehold",1,"Surbiton",3e+05,2022-04-06,0,"yes"
16280112,2022-03-09,"buy","house","freehold",3,"Plymouth",325000,2022-04-29,0,"no"
16282124,2021-10-29,"buy","house","freehold",3,"Cheltenham",395000,2022-07-04,0,"no"
16283113,2022-02-02,"buy","house","freehold",4,"Harrogate",680000,2022-07-01,133,"yes"
16292810,2022-03-09,"buy","house","freehold",3,"Reading",525000,2022-06-07,78,"yes"
16295249,2022-03-10,"buy","flat","leasehold",1,"Luton",150000,2022-04-21,0,"yes"
16307248,2022-03-11,"buy","house","freehold",4,"Leicester",325000,2022-06-24,0,"yes"
16315935,2022-03-12,"buy","house","freehold",4,"Wolverhampton",180000,2022-05-19,0,"no"
14044146,2021-06-29,"buy","house","freehold",3,"Stoke On Trent",177500,2021-09-10,0,"no"
14061234,2021-07-01,"buy","flat","leasehold",1,"Sheffield",125000,2021-08-18,0,"no"
14078509,2021-07-03,"buy","house","freehold",3,"Leicester",310000,2021-07-26,0,"no"
14078723,2021-07-03,"buy","house","freehold",5,"Leicester",529950,2021-07-28,0,"yes"
14079452,2021-07-02,"buy","house","freehold",3,"Stoke On Trent",170000,2021-09-24,0,"no"
14338367,2021-07-30,"buy","house","freehold",3,"Leicester",270000,2021-12-25,119,"yes"
14342971,2021-07-30,"buy","house","freehold",3,"Wolverhampton",150000,2021-08-01,0,"yes"
14343079,2021-07-29,"buy","flat","leasehold",1,"Leicester",120000,2021-08-12,1,"no"
14343798,2021-07-30,"buy","flat","leasehold",1,"Uxbridge",250000,2022-01-17,137,"no"
14350759,2021-07-30,"buy","house","freehold",4,"Coventry",5e+05,2022-01-29,0,"no"
14352342,2021-07-31,"buy","house","freehold",5,"Coventry",650000,2021-08-28,0,"no"
14356313,2021-08-02,"buy","house","freehold",4,"Lincoln",389995,2021-08-04,0,"no"
14373202,2021-08-02,"buy","house","freehold",3,"Cardiff",275000,2021-10-05,0,"no"
14379427,2021-08-02,"buy","house","unknown",3,"Bath",425000,2021-08-11,0,"yes"
14389479,2021-08-03,"buy","house","freehold",5,"Leicester",450000,2021-10-23,0,"yes"
