"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","revised_asking_price"
14828562,2021-09-24,"buy","flat","leasehold",1,"Chelmsford",150000,2022-02-19,148000
14831665,2021-09-24,"buy","house","freehold",3,"Surbiton",725000,2021-10-18,675000
14832399,2021-09-24,"buy","flat","leasehold",2,"Reading",275000,2022-02-15,250000
14862229,2021-09-28,"buy","house","freehold",3,"Sheffield",302995,2022-03-28,284995
14900604,2021-10-01,"buy","house","freehold",2,"Gloucester",195000,2021-11-12,190000
14904327,2021-10-02,"buy","house","freehold",3,"Hull",180000,2021-11-09,175000
14929941,2021-10-05,"buy","house","freehold",4,"Warrington",825000,2021-10-15,795000
14951337,2021-10-07,"buy","house","freehold",3,"Sheffield",170000,2021-11-13,150000
14966877,2021-10-09,"buy","house","freehold",3,"Sheffield",170000,2021-12-07,160000
14980033,2021-10-11,"buy","flat","leasehold",1,"Brighton",234950,2021-10-22,225000
15002945,2021-10-14,"buy","house","freehold",3,"Bromley",625000,2021-11-23,575000
15005076,2021-08-17,"buy","house","freehold",3,"Mansfield",140000,2021-09-27,130000
15018234,2021-01-08,"buy","house","freehold",4,"Lincoln",375000,2021-01-25,350000
15035967,2021-10-17,"buy","house","freehold",5,"Stoke On Trent",4e+05,2021-11-10,390000
15049487,2021-10-19,"buy","house","freehold",3,"Leicester",3e+05,2021-11-12,285000
15072856,2021-10-21,"buy","flat","leasehold",2,"Bromley",450000,2022-02-25,4e+05
15073703,2021-10-21,"buy","flat","leasehold",0,"Surbiton",245000,2022-05-29,215000
15103364,2021-10-25,"buy","house","freehold",3,"Cardiff",320000,2021-11-12,3e+05
15133080,2021-10-27,"buy","flat","leasehold",1,"Warrington",190000,2021-12-25,180000
15151741,2021-10-28,"buy","flat","leasehold",2,"Sheffield",280000,2022-03-29,240000
17031326,2022-05-25,"buy","flat","leasehold",1,"Luton",160000,2022-06-09,150000
17031808,2022-05-25,"buy","house","freehold",4,"Newcastle Upon Tyne",395000,2022-07-29,385000
17053507,2022-05-26,"buy","house","freehold",4,"Lincoln",230000,2022-06-16,220000
17092760,2022-06-01,"buy","house","unknown",2,"Newcastle Upon Tyne",165000,2022-06-24,110000
17094702,2022-06-01,"buy","flat","leasehold",2,"Reading",240000,2022-07-27,229950
17107176,2022-06-01,"buy","flat","unknown",0,"Bath",150000,2022-07-23,140000
17111529,2022-06-02,"buy","house","freehold",3,"Surbiton",849950,2022-06-21,799950
17149586,2022-06-07,"buy","house","freehold",4,"Plymouth",4e+05,2022-06-29,375000
17153325,2022-06-08,"buy","house","freehold",3,"Harrogate",160000,2022-08-04,150000
17158557,2022-06-08,"buy","house","freehold",3,"Stoke On Trent",215000,2022-08-16,205000
17159103,2022-06-08,"buy","flat","leasehold",2,"Reading",325000,2022-06-14,3e+05
1842881,2021-05-24,"buy","flat","leasehold",2,"Reading",240000,2021-06-09,220000
16158136,2022-02-25,"buy","flat","leasehold",1,"Cardiff",180000,2022-03-07,170000
16162377,2022-02-24,"buy","house","unknown",3,"Leicester",6e+05,2022-04-29,5e+05
16165310,2022-02-25,"buy","house","unknown",4,"Uxbridge",750000,2022-03-23,7e+05
16236471,2022-03-03,"buy","flat","leasehold",2,"Sheffield",115000,2022-03-25,112000
16263863,2022-03-08,"buy","house","unknown",2,"Plymouth",275000,2022-07-06,240000
16264165,2022-03-07,"buy","house","freehold",3,"Wolverhampton",364995,2022-04-07,182498
16266040,2022-03-08,"buy","house","unknown",2,"Stoke On Trent",235000,2022-04-26,227500
16266962,2022-03-08,"buy","house","freehold",3,"Chelmsford",350000,2022-03-24,325000
16276764,2022-03-09,"buy","house","unknown",3,"Lincoln",3e+05,2022-08-22,260000
16277103,2022-03-09,"buy","house","freehold",3,"Lincoln",375000,2022-06-24,360000
17820325,2022-08-12,"buy","house","freehold",4,"Surbiton",819950,2022-08-23,795000
17837252,2022-08-15,"buy","house","unknown",2,"Newcastle Upon Tyne",240000,2022-08-22,225000
17866302,2022-08-17,"buy","flat","leasehold",2,"Sheffield",120000,2022-08-19,110000
17871977,2022-08-17,"buy","house","freehold",2,"Coventry",140000,2022-08-19,135000
14338814,2021-07-30,"buy","flat","leasehold",2,"Newcastle Upon Tyne",120000,2021-08-23,110000
14349599,2021-07-30,"buy","flat","leasehold",2,"Lincoln",116000,2021-08-26,113000
14412719,2021-08-06,"buy","house","freehold",4,"Leicester",395000,2021-08-23,385000
14425892,2021-08-09,"buy","house","freehold",4,"Plymouth",315000,2021-12-07,285000
14430623,2021-02-01,"buy","house","freehold",4,"Plymouth",255000,2021-04-15,250000
14476965,2021-08-14,"buy","flat","leasehold",2,"Surbiton",380000,2022-02-04,355000
14478724,2021-08-12,"buy","flat","leasehold",2,"Stoke On Trent",110000,2021-11-02,107000
14479052,2021-08-14,"buy","house","freehold",2,"Reading",250000,2021-10-02,239950
14500157,2021-08-17,"buy","flat","leasehold",1,"Barnet",225000,2021-10-20,2e+05
